Linear,[0.13390858471393585, 0.1938677430152893]
Dense,[0.13260430097579956, 0.1952749341726303]
Multi step dense,[0.24243006110191345, 0.319572389125824]
Conv,[0.23893019556999207, 0.31406155228614807]
LSTM,[0.23826943337917328, 0.30755728483200073]
