Linear,[0.22860167920589447, 0.1723317950963974]
Dense,[0.22889049351215363, 0.1796199232339859]
Multi step dense,[0.41494303941726685, 0.3046780526638031]
Conv,[0.394382506608963, 0.2884880006313324]
LSTM,[0.41359439492225647, 0.29462912678718567]
