Linear,[0.3586028516292572, 0.19914188981056213]
Dense,[0.35567450523376465, 0.19919341802597046]
Multi step dense,[0.6019136309623718, 0.2859804332256317]
Conv,[0.6010642647743225, 0.3220517039299011]
LSTM,[0.6244609355926514, 0.3354082703590393]
