Linear,[0.30620062351226807, 0.20612980425357819]
Dense,[0.3047657907009125, 0.2066919356584549]
Multi step dense,[0.5468111634254456, 0.3778117001056671]
Conv,[0.5206202864646912, 0.35761210322380066]
LSTM,[0.5021334886550903, 0.32249152660369873]
