Linear,[0.219029501080513, 0.23260685801506042]
Dense,[0.2161259949207306, 0.2333698570728302]
Multi step dense,[0.39366310834884644, 0.39158958196640015]
Conv,[0.41442975401878357, 0.4275512397289276]
LSTM,[0.39393937587738037, 0.4048100709915161]
