Linear,[0.11305669695138931, 0.08215107768774033]
Dense,[0.1165202409029007, 0.08416073769330978]
Multi step dense,[0.207355335354805, 0.15638379752635956]
Conv,[0.20459702610969543, 0.1370050460100174]
LSTM,[0.2151487022638321, 0.16677045822143555]
