Linear,[0.19495323300361633, 0.17548449337482452]
Dense,[0.20931313931941986, 0.2329462468624115]
Multi step dense,[0.38100600242614746, 0.35259413719177246]
Conv,[0.3948018550872803, 0.38229864835739136]
LSTM,[0.36298999190330505, 0.35839682817459106]
