Linear,[0.1860329508781433, 0.19488151371479034]
Dense,[0.18353566527366638, 0.20827166736125946]
Multi step dense,[0.3049342930316925, 0.3132060170173645]
Conv,[0.2986035943031311, 0.3100377023220062]
LSTM,[0.29581698775291443, 0.3112407624721527]
