Linear,[0.0894174873828888, 0.1657744199037552]
Dense,[0.08954788744449615, 0.16778740286827087]
Multi step dense,[0.11214488744735718, 0.23083992302417755]
Conv,[0.11321712285280228, 0.23162274062633514]
LSTM,[0.11167055368423462, 0.228348046541214]
