Linear,[0.12314019352197647, 0.14583876729011536]
Dense,[0.12396075576543808, 0.14164522290229797]
Multi step dense,[0.233981654047966, 0.2699914276599884]
Conv,[0.2405947893857956, 0.2774841785430908]
LSTM,[0.23473630845546722, 0.26923540234565735]
