Linear,[0.1358928084373474, 0.1185203343629837]
Dense,[0.13428062200546265, 0.12624765932559967]
Multi step dense,[0.25056344270706177, 0.22320504486560822]
Conv,[0.2509722411632538, 0.21559357643127441]
LSTM,[0.24726158380508423, 0.21615417301654816]
