Linear,[0.1274125725030899, 0.1655072122812271]
Dense,[0.1314844787120819, 0.18671168386936188]
Multi step dense,[0.23266081511974335, 0.29398465156555176]
Conv,[0.24195170402526855, 0.3054615259170532]
LSTM,[0.23566694557666779, 0.30037540197372437]
