Linear,[0.09426700323820114, 0.10567642003297806]
Dense,[0.09516717493534088, 0.11337226629257202]
Multi step dense,[0.17553311586380005, 0.1888134926557541]
Conv,[0.1748686581850052, 0.15642239153385162]
LSTM,[0.16705192625522614, 0.16111108660697937]
