Linear,[0.1138250008225441, 0.12672053277492523]
Dense,[0.11427601426839828, 0.12931454181671143]
Multi step dense,[0.2065104842185974, 0.2581925094127655]
Conv,[0.20340365171432495, 0.24821043014526367]
LSTM,[0.19724854826927185, 0.25334641337394714]
