Linear,[0.2482428103685379, 0.27805212140083313]
Dense,[0.2449946105480194, 0.2632525861263275]
Multi step dense,[0.47259363532066345, 0.45750129222869873]
Conv,[0.459455281496048, 0.44504812359809875]
LSTM,[0.45346248149871826, 0.4500332772731781]
