Linear,[0.3591713011264801, 0.1948886662721634]
Dense,[0.3551311194896698, 0.18431450426578522]
Multi step dense,[0.609713613986969, 0.3098623752593994]
Conv,[0.6098946332931519, 0.31213095784187317]
LSTM,[0.6196136474609375, 0.32759976387023926]
