Linear,[0.36395370960235596, 0.2043091505765915]
Dense,[0.36079058051109314, 0.19965876638889313]
Multi step dense,[0.6170914173126221, 0.3220515847206116]
Conv,[0.6102790832519531, 0.3283388316631317]
LSTM,[0.6313237547874451, 0.33939072489738464]
