Linear,[0.3588644564151764, 0.1961044818162918]
Dense,[0.3653162121772766, 0.20097315311431885]
Multi step dense,[0.6091761589050293, 0.35441550612449646]
Conv,[0.6125630140304565, 0.3278513252735138]
LSTM,[0.622822105884552, 0.33607736229896545]
