Linear,[0.21182003617286682, 0.24005553126335144]
Dense,[0.2112421691417694, 0.24128858745098114]
Multi step dense,[0.3950252830982208, 0.4364382326602936]
Conv,[0.39223405718803406, 0.4312358498573303]
LSTM,[0.36758559942245483, 0.3980928659439087]
