Linear,[2.1842172145843506, 0.647563099861145]
Dense,[2.120944023132324, 0.6061491966247559]
Multi step dense,[3.9832358360290527, 1.049660325050354]
Conv,[4.046162128448486, 1.0572086572647095]
LSTM,[3.972539186477661, 1.0246608257293701]
