Linear,[0.19855093955993652, 0.1420070230960846]
Dense,[0.18365535140037537, 0.09522614628076553]
Multi step dense,[0.3208237588405609, 0.20477160811424255]
Conv,[0.326921671628952, 0.1849302351474762]
LSTM,[0.3228852450847626, 0.20995892584323883]
