Linear,[0.19031549990177155, 0.15281927585601807]
Dense,[0.19602355360984802, 0.17658039927482605]
Multi step dense,[0.33978599309921265, 0.26527416706085205]
Conv,[0.3338545262813568, 0.25325119495391846]
LSTM,[0.3255053758621216, 0.25673264265060425]
