Linear,[0.21780802309513092, 0.23549796640872955]
Dense,[0.22170515358448029, 0.23653586208820343]
Multi step dense,[0.41004613041877747, 0.4165235161781311]
Conv,[0.39558181166648865, 0.4056684374809265]
LSTM,[0.395691841840744, 0.39791831374168396]
