Linear,[0.3049047887325287, 0.207745760679245]
Dense,[0.3090605139732361, 0.20259101688861847]
Multi step dense,[0.43081456422805786, 0.3004423975944519]
Conv,[0.4776378571987152, 0.312479168176651]
LSTM,[0.44384193420410156, 0.2941046953201294]
