Linear,[0.2851948142051697, 0.19493363797664642]
Dense,[0.2838880717754364, 0.2012510448694229]
Multi step dense,[0.5059802532196045, 0.30033600330352783]
Conv,[0.49868980050086975, 0.313242107629776]
LSTM,[0.49407845735549927, 0.30250829458236694]
