Linear,[0.19800278544425964, 0.2191866934299469]
Dense,[0.2083529382944107, 0.2332400679588318]
Multi step dense,[0.34771791100502014, 0.37164077162742615]
Conv,[0.3525187373161316, 0.38258838653564453]
LSTM,[0.3652064800262451, 0.4014641344547272]
