Linear,[0.15558597445487976, 0.19136831164360046]
Dense,[0.16537979245185852, 0.20080633461475372]
Multi step dense,[0.28827422857284546, 0.3281751275062561]
Conv,[0.2984992563724518, 0.3406103253364563]
LSTM,[0.28873226046562195, 0.3307693302631378]
