Linear,[1.1941969394683838, 0.25313812494277954]
Dense,[1.2005553245544434, 0.25375890731811523]
Multi step dense,[1.974045991897583, 0.43265166878700256]
Conv,[1.9610334634780884, 0.34528040885925293]
LSTM,[1.950737476348877, 0.4001120924949646]
