Linear,[0.2644147276878357, 0.25465524196624756]
Dense,[0.2679691016674042, 0.24353095889091492]
Multi step dense,[0.5148459076881409, 0.46344828605651855]
Conv,[0.5212081670761108, 0.45606520771980286]
LSTM,[0.5013481378555298, 0.4443378448486328]
