Linear,[0.19931870698928833, 0.21920496225357056]
Dense,[0.19953204691410065, 0.24833130836486816]
Multi step dense,[0.3626171052455902, 0.38256287574768066]
Conv,[0.35614627599716187, 0.38318803906440735]
LSTM,[0.3654346168041229, 0.3901853561401367]
