Linear,[0.2851867377758026, 0.19301317632198334]
Dense,[0.2858682870864868, 0.18213842809200287]
Multi step dense,[0.5006645917892456, 0.30202215909957886]
Conv,[0.5093849301338196, 0.3205171823501587]
LSTM,[0.5054170489311218, 0.31564223766326904]
