Linear,[0.45930010080337524, 0.1877763569355011]
Dense,[0.45357367396354675, 0.21747559309005737]
Multi step dense,[0.7653406262397766, 0.3376508951187134]
Conv,[0.7357633709907532, 0.33037009835243225]
LSTM,[0.7679715752601624, 0.33131247758865356]
