Linear,[0.15630866587162018, 0.198142871260643]
Dense,[0.15496470034122467, 0.1778898388147354]
Multi step dense,[0.2844814658164978, 0.32025134563446045]
Conv,[0.2899731695652008, 0.34186774492263794]
LSTM,[0.2851237952709198, 0.3281083106994629]
