Linear,[2.1780855655670166, 0.6402958631515503]
Dense,[2.1664257049560547, 0.6203293800354004]
Multi step dense,[3.9742305278778076, 1.0481534004211426]
Conv,[4.072451114654541, 1.0743736028671265]
LSTM,[4.05618953704834, 1.0426437854766846]
