Linear,[0.12398835271596909, 0.14076779782772064]
Dense,[0.1253291368484497, 0.1579355001449585]
Multi step dense,[0.23575271666049957, 0.2615472972393036]
Conv,[0.24234196543693542, 0.263604074716568]
LSTM,[0.23372915387153625, 0.26262569427490234]
