Linear,[0.13073848187923431, 0.12096170336008072]
Dense,[0.130802720785141, 0.13409416377544403]
Multi step dense,[0.26533350348472595, 0.23648394644260406]
Conv,[0.24353989958763123, 0.21853876113891602]
LSTM,[0.24203626811504364, 0.21237938106060028]
