Linear,[0.27465787529945374, 0.23388202488422394]
Dense,[0.27712270617485046, 0.24701012670993805]
Multi step dense,[0.5088834762573242, 0.42034751176834106]
Conv,[0.5005128979682922, 0.4020029902458191]
LSTM,[0.4968012869358063, 0.3963889479637146]
