Linear,[0.18315067887306213, 0.1238839253783226]
Dense,[0.181463822722435, 0.12425532191991806]
Multi step dense,[0.3300817310810089, 0.2528187334537506]
Conv,[0.319380521774292, 0.23488804697990417]
LSTM,[0.3113820254802704, 0.21283723413944244]
