Linear,[0.08953025192022324, 0.16493505239486694]
Dense,[0.08510644733905792, 0.16592548787593842]
Multi step dense,[0.11085639148950577, 0.2262173593044281]
Conv,[0.11340203881263733, 0.23426716029644012]
LSTM,[0.10967160016298294, 0.227425217628479]
