Linear,[0.19036482274532318, 0.19856442511081696]
Dense,[0.18719643354415894, 0.20260463654994965]
Multi step dense,[0.30334943532943726, 0.30482035875320435]
Conv,[0.3082219660282135, 0.3303283154964447]
LSTM,[0.29783138632774353, 0.3089762032032013]
