Linear,[0.19476760923862457, 0.1792050153017044]
Dense,[0.20106422901153564, 0.20636646449565887]
Multi step dense,[0.3821752965450287, 0.34900233149528503]
Conv,[0.3889993727207184, 0.35791921615600586]
LSTM,[0.36566978693008423, 0.3590947389602661]
