Linear,[0.11593086272478104, 0.09722095727920532]
Dense,[0.12519855797290802, 0.09370993077754974]
Multi step dense,[0.23039719462394714, 0.18570904433727264]
Conv,[0.21575987339019775, 0.15046174824237823]
LSTM,[0.2339092195034027, 0.18356548249721527]
