Linear,[1.0489866733551025, 0.226296529173851]
Dense,[1.0579527616500854, 0.22477799654006958]
Multi step dense,[1.6525139808654785, 0.3294872045516968]
Conv,[1.6757094860076904, 0.3157768249511719]
LSTM,[1.7235510349273682, 0.34513843059539795]
